Price,Adj Close,Close,High,Low,Open,Volume
2018-01-17,0.1832360029,0.1832360029,0.196066007,0.1506810039,0.1539870054,10023000
2018-01-18,0.1955499947,0.1955499947,0.2374079973,0.1712339967,0.1834930032,8838400
2018-01-19,0.1804309934,0.1804309934,0.1998949945,0.1522379965,0.1942339987,6949030
2018-01-20,0.1898880005,0.1898880005,0.1918410063,0.1745910048,0.1813279986,8285020
2018-01-21,0.1650599986,0.1650599986,0.1900320053,0.1538680047,0.1892849952,5526050
2018-01-22,0.1536410004,0.1536410004,0.1749500036,0.1424549967,0.1641529948,6522240
2018-01-23,0.1471700072,0.1471700072,0.161721006,0.1406880021,0.1530729979,6450150
2018-01-24,0.2131959945,0.2131959945,0.2329050004,0.140444994,0.1460900009,20395700
2018-01-25,0.2943449914,0.2943449914,0.3136830032,0.2097519934,0.2145279944,29532100
2018-01-26,0.2999849916,0.2999849916,0.3109970093,0.226688996,0.292057991,44487700
2018-01-27,0.2761729956,0.2761729956,0.3144249916,0.2484209985,0.2998049855,85674000
2018-01-28,0.2952030003,0.2952030003,0.3024590015,0.247337997,0.2730840147,324792992
2018-01-29,0.2805489898,0.2805489898,0.2943040133,0.2569490075,0.2942439914,203568992
2018-01-30,0.2155449986,0.2155449986,0.2806150019,0.2083619982,0.2806150019,17125000
2018-01-31,0.2169229984,0.2169229984,0.2407259941,0.1979860067,0.2141720057,26505600
2018-02-01,0.1917330027,0.1917330027,0.2388990074,0.1715189964,0.2172120064,29135600
2018-02-02,0.1711950004,0.1711950004,0.1913300008,0.1346500069,0.1913300008,14172600
2018-02-03,0.1873780042,0.1873780042,0.1951709986,0.1594589949,0.1722089946,22331900
2018-02-04,0.1517170072,0.1517170072,0.187827006,0.1512320042,0.187827006,18977100
2018-02-05,0.1170589998,0.1170589998,0.1530980021,0.1114559993,0.1513330042,13071100
2018-02-06,0.1370950043,0.1370950043,0.1370950043,0.09643899649,0.1173690036,14127500
2018-02-07,0.1215839982,0.1215839982,0.1469980031,0.1209700033,0.1367170066,16069800
2018-02-08,0.1299030036,0.1299030036,0.1389079988,0.1222020015,0.1222020015,14773100
2018-02-09,0.1420760006,0.1420760006,0.1473480016,0.1193500012,0.1304090023,16085500
2018-02-10,0.1301490068,0.1301490068,0.1468790025,0.1254750043,0.1418869942,9057960
2018-02-11,0.1167030036,0.1167030036,0.1300510019,0.1071960032,0.1300510019,8291120
2018-02-12,0.1167310029,0.1167310029,0.1232659966,0.1109410003,0.1174869984,8611540
2018-02-13,0.1148070022,0.1148070022,0.1177359968,0.1132619977,0.116504997,6377880
2018-02-14,0.1288499981,0.1288499981,0.1292449981,0.1144020036,0.1146349981,8532220
2018-02-15,0.1421419978,0.1421419978,0.1513420045,0.1218459979,0.1290719956,15733200
2018-02-16,0.1406529993,0.1406529993,0.1444630027,0.1318590045,0.1419059932,9728440
2018-02-17,0.1663749963,0.1663749963,0.1936870068,0.1389089972,0.1405480057,17193000
2018-02-18,0.1662179977,0.1662179977,0.1822039932,0.1518470049,0.1680479944,15313000
2018-02-19,0.1697700024,0.1697700024,0.1764840037,0.1649380028,0.1670819968,10242100
2018-02-20,0.1441919953,0.1441919953,0.1713110059,0.1434379965,0.1695940048,10319600
2018-02-21,0.1279779971,0.1279779971,0.1471460015,0.1242109984,0.1437360048,9204880
2018-02-22,0.1298940033,0.1298940033,0.1431809962,0.1208100021,0.1279390007,7852400
2018-02-23,0.1307290047,0.1307290047,0.1348630041,0.1245760024,0.1296849996,7672910
2018-02-24,0.1262679994,0.1262679994,0.1362989992,0.1226679981,0.1313129961,7052710
2018-02-25,0.1140019968,0.1140019968,0.1289869994,0.1129840016,0.1260740012,6773400
2018-02-26,0.125552997,0.125552997,0.1320050061,0.1125079989,0.1138819978,7285370
2018-02-27,0.139496997,0.139496997,0.1498450041,0.1212830022,0.125315994,9884140
2018-02-28,0.1456699967,0.1456699967,0.1489479989,0.1318490058,0.1394380033,12627500
2018-03-01,0.211597994,0.211597994,0.2133599967,0.1456889957,0.1462980062,37765000
2018-03-02,0.1957170069,0.1957170069,0.2125390023,0.1710229963,0.2125390023,29473000
2018-03-03,0.229565993,0.229565993,0.2349220067,0.1826869994,0.1947239935,30205500
2018-03-04,0.2161259949,0.2161259949,0.2408750057,0.2024070024,0.2290530056,29309100
2018-03-05,0.2146870047,0.2146870047,0.2236039937,0.2027810067,0.2150200009,23577400
2018-03-06,0.2018239945,0.2018239945,0.2178820074,0.1837940067,0.2147170007,19680000
2018-03-07,0.1688040048,0.1688040048,0.2080110013,0.1529009938,0.2033469975,16381000
2018-03-08,0.1408739984,0.1408739984,0.176365003,0.131280005,0.1684949994,14515700
2018-03-09,0.1705490053,0.1705490053,0.173999995,0.1201919988,0.1377509981,16600700
2018-03-10,0.1639990062,0.1639990062,0.1920399964,0.1574780047,0.1678860039,27255700
2018-03-11,0.1836989969,0.1836989969,0.1876650006,0.1521880031,0.1627790034,22180800
2018-03-12,0.1667169929,0.1667169929,0.1833990067,0.1631609946,0.1827969998,19081900
2018-03-13,0.1630329937,0.1630329937,0.1682990044,0.1570519954,0.1663089991,7329330
2018-03-14,0.1475619972,0.1475619972,0.1638710052,0.1459269971,0.1632689983,9748800
2018-03-15,0.1470129937,0.1470129937,0.1494269967,0.1338160038,0.1470340043,8986450
2018-03-16,0.1468659937,0.1468659937,0.1524620056,0.1380169988,0.1462419927,8123190
2018-03-17,0.1419180036,0.1419180036,0.1496489942,0.1398809999,0.1464110017,7050640
2018-03-18,0.1400270015,0.1400270015,0.1421130002,0.1193270013,0.1421130002,9116510
2018-03-19,0.1466999948,0.1466999948,0.1506779939,0.1365250051,0.1393779963,9114590
2018-03-20,0.154388994,0.154388994,0.161679998,0.1379230022,0.1483500004,10109000
2018-03-21,0.1545249969,0.1545249969,0.1655399948,0.1496330053,0.1549890041,9611230
2018-03-22,0.1483629942,0.1483629942,0.1571560055,0.1404799968,0.1542039961,9355440
2018-03-23,0.1514150053,0.1514150053,0.1529729962,0.1385499984,0.1481630057,10236200
2018-03-24,0.145453006,0.145453006,0.155577004,0.1442759931,0.1513440013,8571310
2018-03-25,0.1440670043,0.1440670043,0.1493500024,0.1427990049,0.1438840032,8306740
2018-03-26,0.1321749985,0.1321749985,0.1449410021,0.1256799996,0.1439580023,9037050
2018-03-27,0.1287479997,0.1287479997,0.1346240044,0.1256570071,0.1321450025,6311520
2018-03-28,0.1330610067,0.1330610067,0.1389510036,0.1272460073,0.1285810024,10087600
2018-03-29,0.1182620004,0.1182620004,0.1345179975,0.1155499965,0.1332720071,9063930
2018-03-30,0.1158739999,0.1158739999,0.1219969988,0.113142997,0.1181759983,7796050
2018-03-31,0.1165290028,0.1165290028,0.1229740009,0.1145030037,0.1159629971,7199390
2018-04-01,0.1082110032,0.1082110032,0.1183929965,0.1056270003,0.1165810004,6086040
2018-04-02,0.1144319996,0.1144319996,0.1176820025,0.1069089994,0.1084349975,8226320
2018-04-03,0.1191890016,0.1191890016,0.1218850017,0.1133370027,0.1146830022,7873560
2018-04-04,0.1089280024,0.1089280024,0.1196649969,0.1075579971,0.1192959994,7071780
2018-04-05,0.1069390029,0.1069390029,0.1117269993,0.1051390022,0.1089859977,6169840
2018-04-06,0.1006079987,0.1006079987,0.1093500033,0.09922499955,0.1067939997,8200730
2018-04-07,0.1037520021,0.1037520021,0.107832998,0.1005709991,0.1005709991,7640780
2018-04-08,0.1048730016,0.1048730016,0.108032003,0.1036830023,0.1038620025,7083290
2018-04-09,0.1059509963,0.1059509963,0.1091350019,0.100293003,0.1048730016,8026430
2018-04-10,0.1043760031,0.1043760031,0.1085819975,0.1013029963,0.105893001,7718280
2018-04-11,0.1131030023,0.1131030023,0.115489997,0.1043739989,0.1043739989,10436800
2018-04-12,0.1251289994,0.1251289994,0.1261239946,0.1078440025,0.1131490022,17461200
2018-04-13,0.1251219958,0.1251219958,0.1366049945,0.1220849976,0.1260650009,14384300
2018-04-14,0.1211159974,0.1211159974,0.1282069981,0.1166839972,0.1244279966,9716410
2018-04-15,0.1248029992,0.1248029992,0.1269460022,0.1212359965,0.1212359965,8294150
2018-04-16,0.1172849983,0.1172849983,0.1270990074,0.1118210033,0.124871999,11060200
2018-04-17,0.1165649965,0.1165649965,0.1216410026,0.1140649989,0.1174160019,9419270
2018-04-18,0.1238839999,0.1238839999,0.1245570034,0.1164449975,0.116527997,8426960
2018-04-19,0.1368129998,0.1368129998,0.1445890069,0.1236559972,0.1239989996,12325100
2018-04-20,0.1445900053,0.1445900053,0.1462160051,0.1313270032,0.137462005,11231000
2018-04-21,0.1454239935,0.1454239935,0.1490029991,0.1306300014,0.1446200013,14194500
2018-04-22,0.1514849961,0.1514849961,0.1635850072,0.1426530033,0.1457570046,14291300
2018-04-23,0.1494430006,0.1494430006,0.156844005,0.1455450058,0.1513430029,11423600
2018-04-24,0.1595759988,0.1595759988,0.1613350064,0.1476469934,0.148706004,14929100
2018-04-25,0.1297450066,0.1297450066,0.1592019945,0.1257680058,0.1592019945,12941700
2018-04-26,0.1466950029,0.1466950029,0.1476179957,0.1261309981,0.1304329932,9966260
2018-04-27,0.1344189942,0.1344189942,0.1466919929,0.1344189942,0.1466919929,7752820
2018-04-28,0.1436800063,0.1436800063,0.1461559981,0.1317979991,0.1327520013,8537370
2018-04-29,0.1482750028,0.1482750028,0.1538989991,0.1414310038,0.1437000036,10438000
2018-04-30,0.1429059952,0.1429059952,0.1508769989,0.1416050047,0.1480419934,7770670
2018-05-01,0.1413650066,0.1413650066,0.1429589987,0.133871004,0.1428650022,8237290
2018-05-02,0.1467279941,0.1467279941,0.1496440023,0.1397369951,0.141110003,6558440
2018-05-03,0.1744800061,0.1744800061,0.1821870059,0.1467719972,0.1467719972,14623700
2018-05-04,0.175959006,0.175959006,0.1811430007,0.1688670069,0.1739609987,9149110
2018-05-05,0.166655004,0.166655004,0.1789499968,0.1662430018,0.1760990024,7430260
2018-05-06,0.1642230004,0.1642230004,0.1680459976,0.151387006,0.1680459976,7593180
2018-05-07,0.209514007,0.209514007,0.209514007,0.1526619941,0.1646569967,20625400
2018-05-08,0.2002349943,0.2002349943,0.2244459987,0.1877090037,0.2100239992,15782200
2018-05-09,0.2145169973,0.2145169973,0.2145169973,0.1807350069,0.1989160031,9916050
2018-05-10,0.2178169936,0.2178169936,0.2334930003,0.2115699947,0.2175790071,15202300
2018-05-11,0.1798679978,0.1798679978,0.2170400023,0.1705809981,0.2170400023,11757400
2018-05-12,0.1857780069,0.1857780069,0.1857780069,0.1571819931,0.1794150025,10638200
2018-05-13,0.191189006,0.191189006,0.1952850074,0.1737509966,0.1863150001,8077280
2018-05-14,0.2359289974,0.2359289974,0.2359289974,0.1794770062,0.191347003,15109100
2018-05-15,0.2339330018,0.2339330018,0.2454580069,0.2185519934,0.2357500046,16822800
2018-05-16,0.2405800074,0.2405800074,0.2480940074,0.2168540061,0.2346349955,18379300
2018-05-17,0.208119005,0.208119005,0.2409469932,0.2048899978,0.2402459979,10257000
2018-05-18,0.233156994,0.233156994,0.2342759967,0.1984629929,0.2083760053,9054880
2018-05-19,0.2276249975,0.2276249975,0.2379119992,0.2228669971,0.2332080007,8487090
2018-05-20,0.2277469933,0.2277469933,0.234284997,0.219096005,0.2276470065,5522400
2018-05-21,0.2217710018,0.2217710018,0.2309439927,0.208119005,0.2291309983,7583800
2018-05-22,0.2017759979,0.2017759979,0.2253350019,0.2004690021,0.2211599946,5936270
2018-05-23,0.174161002,0.174161002,0.2024970055,0.1634930074,0.2013269961,8382260
2018-05-24,0.1772350073,0.1772350073,0.1863690019,0.158811003,0.1732230037,8577000
2018-05-25,0.1689549983,0.1689549983,0.177880004,0.1660179943,0.1767739952,5312460
2018-05-26,0.1654320061,0.1654320061,0.1708679944,0.1650300026,0.1688520014,10354800
2018-05-27,0.1631370038,0.1631370038,0.171122998,0.1589149982,0.1652989984,11973200
2018-05-28,0.1622299999,0.1622299999,0.1738409996,0.1585900038,0.1626150012,14102400
2018-05-29,0.1949910074,0.1949910074,0.2053840011,0.1616750062,0.1616750062,35007500
2018-05-30,0.2898100019,0.2898100019,0.2932110131,0.1949850023,0.1949850023,86228096
2018-05-31,0.245509997,0.245509997,0.2889569998,0.2277210057,0.2889569998,77200400
2018-06-01,0.2635549903,0.2635549903,0.2723830044,0.2342569977,0.2451090068,69645800
2018-06-02,0.2541640103,0.2541640103,0.2658729851,0.2448489964,0.2646430135,50267600
2018-06-03,0.2703509927,0.2703509927,0.2740510106,0.2532159984,0.2541179955,57555800
2018-06-04,0.2551029921,0.2551029921,0.2845509946,0.2462210059,0.2684740126,66826800
2018-06-05,0.2593519986,0.2593519986,0.2621049881,0.2410649955,0.2549389899,54832700
2018-06-06,0.2557770014,0.2557770014,0.2675560117,0.2479719967,0.2599020004,38196300
2018-06-07,0.2381470054,0.2381470054,0.2609080076,0.2369070053,0.2561840117,38647400
2018-06-08,0.2316119969,0.2316119969,0.2412019968,0.2305919975,0.2379029989,31270000
2018-06-09,0.2077230066,0.2077230066,0.2327030003,0.2058150023,0.2311259955,18450200
2018-06-10,0.1781529933,0.1781529933,0.2082740068,0.1740429997,0.2082740068,16662900
2018-06-11,0.202452004,0.202452004,0.2086070031,0.1777140051,0.1786260009,24479200
2018-06-12,0.1812459975,0.1812459975,0.2047529966,0.1766089946,0.2022050023,17487300
2018-06-13,0.1628600061,0.1628600061,0.1813810021,0.1535709947,0.1810660064,17028800
2018-06-14,0.1736019999,0.1736019999,0.1773220003,0.1573110074,0.162154004,18278100
2018-06-15,0.1634339988,0.1634339988,0.1740089953,0.1605809927,0.1737190038,12376000
2018-06-16,0.1653160006,0.1653160006,0.1682550013,0.1599379927,0.1621789932,10557400
2018-06-17,0.1600670069,0.1600670069,0.1664980054,0.1598259956,0.1656119972,9977500
2018-06-18,0.1603980064,0.1603980064,0.162639007,0.1489000022,0.1597519964,11404400
2018-06-19,0.1527210027,0.1527210027,0.1609420031,0.1512430012,0.1603890061,10041000
2018-06-20,0.1480720043,0.1480720043,0.1545920074,0.1433199942,0.1529220045,10195300
2018-06-21,0.1533560008,0.1533560008,0.1675339937,0.147912994,0.1481059939,14347400
2018-06-22,0.1257310063,0.1257310063,0.1609430015,0.1229489967,0.1532700062,16644200
2018-06-23,0.1241569966,0.1241569966,0.1323239952,0.1215569973,0.1261229962,9094710
2018-06-24,0.1371400058,0.1371400058,0.1480540037,0.105870001,0.1241730005,15576200
2018-06-25,0.1600680053,0.1600680053,0.1700540036,0.1295119971,0.1360940039,25638800
2018-06-26,0.153531,0.153531,0.1831170022,0.1509149969,0.1596560031,23885200
2018-06-27,0.163222,0.163222,0.183257997,0.151135996,0.1539060026,24540100
2018-06-28,0.1386709958,0.1386709958,0.1652709991,0.1357170045,0.1633480042,15120200
2018-06-29,0.1573469937,0.1573469937,0.1663949937,0.1320309937,0.1387290061,16340300
2018-06-30,0.1627990007,0.1627990007,0.1714909971,0.155260995,0.1595429927,17938800
2018-07-01,0.1627330035,0.1627330035,0.1671230048,0.1522790045,0.1628510058,11309200
2018-07-02,0.1636980027,0.1636980027,0.1701290011,0.1537760049,0.1627089977,14097500
2018-07-03,0.1643839926,0.1643839926,0.1780589968,0.1606680006,0.163161993,16200300
2018-07-04,0.1627770066,0.1627770066,0.1706580073,0.1575540006,0.1640090048,11521900
2018-07-05,0.154749006,0.154749006,0.1707520038,0.1533000022,0.1625390053,12232200
2018-07-06,0.1576980054,0.1576980054,0.1629749984,0.1463029981,0.1549320072,9517920
2018-07-07,0.1613480002,0.1613480002,0.1613480002,0.1510439962,0.1576569974,7336770
2018-07-08,0.157002002,0.157002002,0.1630430073,0.1559019983,0.1619970053,8221660
2018-07-09,0.1433349997,0.1433349997,0.157348007,0.1433349997,0.1572780013,7916810
2018-07-10,0.1294569969,0.1294569969,0.1445160061,0.1294569969,0.1437589973,8177050
2018-07-11,0.1287879944,0.1287879944,0.1326079965,0.1206760034,0.1291709989,8025580
2018-07-12,0.1280609965,0.1280609965,0.1322049946,0.1190500036,0.1287530065,6726400
2018-07-13,0.125187993,0.125187993,0.1363860071,0.1228490025,0.1279219985,6231040
2018-07-14,0.1261750013,0.1261750013,0.1293590069,0.1225870028,0.125037998,2817230
2018-07-15,0.1298490018,0.1298490018,0.1336320043,0.1257999986,0.1262910068,2775250
2018-07-16,0.1471949965,0.1471949965,0.1471949965,0.1287250072,0.1297730058,6319780
2018-07-17,0.1583079994,0.1583079994,0.1600950062,0.1408420056,0.1468490064,8182040
2018-07-18,0.1563030034,0.1563030034,0.1643870026,0.1537099928,0.1584919989,7831570
2018-07-19,0.1470980048,0.1470980048,0.1565310061,0.1452859938,0.1565310061,5214010
2018-07-20,0.1299190074,0.1299190074,0.1475429982,0.1295229942,0.1475429982,4717980
2018-07-21,0.1378850043,0.1378850043,0.1408369988,0.1273149997,0.1297609955,3149390
2018-07-22,0.132604003,0.132604003,0.1386460066,0.1311260015,0.1377660036,1951660
2018-07-23,0.1397459954,0.1397459954,0.1428650022,0.1311430037,0.1322560012,3104680
2018-07-24,0.1368910074,0.1368910074,0.1431149989,0.1309490055,0.1431149989,6915810
2018-07-25,0.1430989951,0.1430989951,0.1528269947,0.135710001,0.1361290067,5596100
2018-07-26,0.1336389929,0.1336389929,0.146924004,0.1315560043,0.1429339945,6128950
2018-07-27,0.1326130033,0.1326130033,0.1353649944,0.1275939941,0.1337289959,5490110
2018-07-28,0.1305609941,0.1305609941,0.1328119934,0.128301993,0.1326210052,5602250
2018-07-29,0.133325994,0.133325994,0.1344449967,0.1287280023,0.1311729997,5669570
2018-07-30,0.1269840002,0.1269840002,0.1333010048,0.1214450002,0.1333010048,4648780
2018-07-31,0.1127580032,0.1127580032,0.1271100044,0.1127580032,0.1271100044,4279170
2018-08-01,0.1136640012,0.1136640012,0.1153820008,0.1086309999,0.1122730002,3994440
2018-08-02,0.1064409986,0.1064409986,0.115079999,0.1061360016,0.1138549969,4378020
2018-08-03,0.1111819968,0.1111819968,0.1166469976,0.100978002,0.1065590009,5151860
2018-08-04,0.1079400033,0.1079400033,0.1141899973,0.1054949984,0.1112760007,4104470
2018-08-05,0.1210620031,0.1210620031,0.1237920001,0.1063349992,0.1079000011,6556860
2018-08-06,0.1165969968,0.1165969968,0.1229629964,0.1110529974,0.1209580004,4634860
2018-08-07,0.1073770002,0.1073770002,0.1169779971,0.1073639989,0.1163899973,4177280
2018-08-08,0.102241002,0.102241002,0.112989001,0.1006449983,0.1074699983,5923190
